data,temperatura,chuva,umidade
2020-01-01,29.5,5.3,74.6
2020-01-02,27.6,0.6,65.6
2020-01-03,29.9,9.5,66.0
2020-01-04,32.6,6.5,74.6
2020-01-05,27.3,18.2,86.5
2020-01-06,27.3,4.5,91.4
2020-01-07,32.7,10.6,62.9
2020-01-08,30.3,2.0,73.8
2020-01-09,26.6,3.0,63.5
2020-01-10,29.6,16.7,60.6
2020-01-11,26.6,9.2,83.2
2020-01-12,26.6,7.2,81.1
2020-01-13,28.7,21.3,65.7
2020-01-14,22.3,4.8,68.2
2020-01-15,22.8,10.6,60.8
2020-01-16,26.3,11.2,89.2
2020-01-17,25.0,14.4,94.1
2020-01-18,28.9,1.7,64.7
2020-01-19,25.3,4.8,68.1
2020-01-20,23.8,6.4,90.4
2020-01-21,32.4,14.2,92.4
2020-01-22,27.3,7.0,74.7
2020-01-23,28.2,11.2,61.8
2020-01-24,23.7,1.6,61.4
2020-01-25,26.4,3.9,80.1
2020-01-26,28.3,12.4,73.8
2020-01-27,24.5,4.4,61.0
2020-01-28,29.1,5.1,80.4
2020-01-29,26.2,14.1,60.4
2020-01-30,27.1,2.4,87.6
2020-01-31,26.2,2.9,70.7
2020-02-01,33.6,1.4,61.4
2020-02-02,28.0,14.4,80.6
2020-02-03,24.8,10.0,73.9
2020-02-04,30.5,9.8,94.1
2020-02-05,24.3,3.8,79.0
2020-02-06,28.6,1.3,69.6
2020-02-07,22.1,1.0,84.8
2020-02-08,24.0,12.5,69.5
2020-02-09,28.6,7.5,91.6
2020-02-10,30.2,8.6,73.1
2020-02-11,28.5,6.2,79.2
2020-02-12,27.7,2.6,61.8
2020-02-13,27.1,4.0,74.9
2020-02-14,23.6,2.1,89.1
2020-02-15,25.8,1.8,88.2
2020-02-16,26.6,9.5,67.9
2020-02-17,31.2,1.1,67.9
2020-02-18,29.0,2.1,88.6
2020-02-19,22.7,4.2,92.6
2020-02-20,29.0,5.4,63.3
2020-02-21,26.8,1.4,75.8
2020-02-22,26.0,6.9,71.8
2020-02-23,29.8,5.9,90.5
2020-02-24,31.1,12.4,62.9
2020-02-25,30.8,5.5,67.4
2020-02-26,25.5,7.4,86.3
2020-02-27,27.1,2.7,61.8
2020-02-28,29.0,2.8,77.2
2020-02-29,30.9,1.6,75.5
2020-03-01,26.6,2.8,71.7
2020-03-02,27.4,3.9,73.8
2020-03-03,24.7,11.6,78.5
2020-03-04,24.4,2.4,65.6
2020-03-05,30.4,18.8,80.0
2020-03-06,32.1,7.9,88.2
2020-03-07,27.8,6.8,86.6
2020-03-08,31.0,5.2,65.4
2020-03-09,29.1,4.5,65.2
2020-03-10,26.1,3.1,69.4
2020-03-11,29.1,1.3,72.6
2020-03-12,32.6,2.5,74.3
2020-03-13,27.9,14.4,83.8
2020-03-14,32.7,7.5,62.0
2020-03-15,20.1,14.3,61.2
2020-03-16,30.5,3.1,73.7
2020-03-17,28.3,2.0,84.4
2020-03-18,27.1,5.1,66.8
2020-03-19,28.3,2.6,82.5
2020-03-20,22.0,6.0,69.1
2020-03-21,27.3,1.1,91.0
2020-03-22,29.1,0.6,91.3
2020-03-23,32.4,6.6,70.4
2020-03-24,26.4,14.7,68.0
2020-03-25,25.6,6.8,74.4
2020-03-26,26.5,7.5,68.4
2020-03-27,30.7,5.3,83.5
2020-03-28,29.0,5.7,88.9
2020-03-29,26.4,1.3,83.6
2020-03-30,29.5,2.7,88.9
2020-03-31,28.3,11.5,73.9
2020-04-01,30.9,3.9,65.5
2020-04-02,25.9,11.3,85.8
2020-04-03,27.0,5.6,72.6
2020-04-04,26.8,5.8,83.5
2020-04-05,23.6,3.9,69.5
2020-04-06,28.9,8.3,62.8
2020-04-07,28.8,9.7,94.7
2020-04-08,28.0,2.5,65.5
2020-04-09,27.3,1.4,94.6
2020-04-10,23.8,0.7,94.2
2020-04-11,26.7,7.2,87.8
2020-04-12,27.0,6.7,83.1
2020-04-13,25.6,22.2,80.2
2020-04-14,27.5,5.3,90.3
2020-04-15,29.2,4.6,70.1
2020-04-16,33.7,6.1,76.4
2020-04-17,28.5,6.4,81.7
2020-04-18,28.8,4.4,74.4
2020-04-19,27.8,2.6,75.0
2020-04-20,22.2,5.1,71.6
2020-04-21,27.9,5.0,79.7
2020-04-22,28.2,4.9,89.8
2020-04-23,35.4,8.9,67.1
2020-04-24,27.4,5.0,92.7
2020-04-25,28.9,1.4,84.1
2020-04-26,27.9,3.0,88.8
2020-04-27,24.5,4.3,79.5
2020-04-28,31.4,5.2,87.3
2020-04-29,30.3,7.3,60.6
2020-04-30,30.4,5.3,88.6
2020-05-01,25.3,0.6,61.4
2020-05-02,32.2,1.6,91.1
2020-05-03,23.8,7.7,94.7
2020-05-04,29.8,4.2,70.3
2020-05-05,34.6,5.6,67.4
2020-05-06,25.0,3.8,86.8
2020-05-07,26.3,3.0,68.9
